realgm_player_id,realgm_name,hh_name
,"Paul Reed, Jr.",Paul Reed
,Peja Drobnjak,Predrag Drobnjak
,Peja Stojakovic,Predrag Stojakovic
,Penny Hardaway,Anfernee Hardaway
,Pig Miller,Anthony Miller
,Pipoka Vianna,Joao Vianna
,R.J. Barrett,RJ Barrett
,R.J. Hampton,RJ Hampton
,R.J. Hunter,RJ Hunter
,R.J. Nembhard,RJ Nembhard
,Raed Farid Elhamali,Randy Holcomb
,Raiquan Gray,RaiQuan Gray
,Rasho Nesterovic,Radoslav Nesterovic
,Raulzinho Neto,Raul Neto
,Reggie Williams,Reggie Williams (1964)
,Ricky Calloway,Rick Calloway
,Robert Woodard II,Robert Woodard
,Ron Harper Jr.,Ron Harper Jr
,"Roy Rogers, Jr.",Roy Rogers
,Rusty LaRue,Rusty Larue
,Santi Aldama,Santiago Aldama
,Sasha Pavlovic,Aleksandar Pavlovic
,"Scotty Pippen, Jr.",Scotty Pippen Jr
,Sergei Monia,Sergey Monya
,Slava Medvedenko,Stanislav Medvedenko
,Squeaky Johnson,Carldell Johnson
,Svi Mykhailiuk,Sviatoslav Mykhailiuk
,T.J. Ford,TJ Ford
,T.J. Leaf,TJ Leaf
,T.J. McConnell,TJ McConnell
,T.J. Warren,TJ Warren
,Tim Hardaway Jr.,Tim Hardaway Jr
,Timothe Luwawu-Cabarrot,Timothe Luwawu
,Toure' Murry,Toure Murry
,Trey McKinney Jones,Trey McKinney-Jones
,Trey Murphy III,Trey Murphy
,"Troy Brown, Jr.",Troy Brown
,"TyTy Washington, Jr.",TyTy Washington
,"Vernon Carey, Jr.",Vernon Carey
,Viacheslav Kravtsov,Vyacheslav Kravtsov
,Vince Edwards,Vincent Edwards
,"Vincent Williams, Jr.",Vince Williams Jr
,Wade Baldwin IV,Wade Baldwin
,"Walker Russell, Sr.",Walker Russell Sr
,"Walt Lemon, Jr.",Walter Lemon Jr
,"Wendell Carter, Jr.",Wendell Carter Jr
,"Wendell Moore, Jr.",Wendell Moore
,Will Cunningham,William Cunningham
,Will Solomon,Willie Solomon
,"Xavier Tillman, Sr.",Xavier Tillman
,Yann Ulrich Stephane Lasme,Stephane Lasme
,Yue Sun,Sun Yue
,Zhizhi Wang,Wang Zhizhi
